Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,Untis 2021
Do-6,,Mitta,Jun,1.04,,
Do-7,,LZ,Wer,1.04,,
Do-8,,E5,Jun,1.04,,
Do-9,,E5,Jun,1.04,,
Fr-1,,BI,Sad,8.05,,
Fr-2,,BI,Sad,8.05,,
Fr-3,,D,Bk,1.04,,
Fr-4,,D,Bk,1.04,,
Fr-5,,SP,Th,H2,,
Fr-6,,M,Fo,1.04,,
Fr-7,,,,,,
Fr-8,,,,,,
Fr-9,,,,,,
,,Stundenplan21_22neu,,,,
Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,,,,,Untis 2021
"D-48346, Loburg 15",,,,,,,,,,,,16.8.2021 14:51
,,,,,6a/ Sp/Lü,,,,,,,
Mo-1,,,,,BI,Su,8.02,,,,,
Mo-2,,,,,BI,Su,8.02,,,,,
Mo-3,,,KR,,KsK,2.04,ER,Fm,3.05,,,
Mo-4,,,KR,,KsK,2.04,ER,Fm,3.05,,,
Mo-5,,,,,LZ,Dre,2.04,,,,,
Mo-6,,,,,M,Ra,2.04,,,,,
Mo-7,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,
Di-1,,,,,PK,Sche,2.04,,,,,
Di-2,,,,,PK,Sche,2.04,,,,,
Di-3,,,,,GE,Dre,2.04,,,,,
Di-4,,,,,GE,Dre,2.04,,,,,
Di-5,,,,,SP,Sad,Bad,,,,,
Di-6,,,,,SP,Sad,Bad,,,,,
Di-7,,,,,,,,,,,,
Di-8,,,,,M,Ra,2.04,,,,,
Di-9,,,,,E5,Sp,2.04,,,,,
Mi-1,,,,,D,Lü,2.04,,,,,
Mi-2,,,,,D,Lü,2.04,,,,,
Mi-3,,,,,M,Ra,2.04,,,,,
Mi-4,,,,,M,Ra,2.04,,,,,
Mi-5,,,,,LZ,De,2.04,,,,,
Mi-6,Chor,Hm,Aula,LRS,Kru,1.06,kuAG,Mus,7.11,sport,Pf,H3
Mi-7,,,,,,,,,,,,
Mi-8,,,,,E5,Sp,2.04,,,,,
Mi-9,,,,,sozL,Sp,2.04,,,,,
Do-1,,,,,D,Lü,2.04,,,,,
Do-2,,,,,D,Lü,2.04,,,,,
Do-3,,,,,E5,Sp,2.04,,,,,
Do-4,,,,,LZ,Sp,2.04,,,,,
Do-5,,,,,PH,Fw,8.07,,,,,
Do-6,,,,,PH,Fw,8.07,,,,,
Do-7,,,,,,,,,,,,
Do-8,,,,,KU,Bg,7.11,,,,,
Do-9,,,,,KU,Bg,7.11,,,,,
Fr-1,,,,,E5,Sp,2.04,,,,,
Fr-2,,,,,E5,Sp,2.04,,,,,
Fr-3,,,,,SP,Sad,H3,,,,,
Fr-4,,,,,SP,Sad,H3,,,,,
Fr-5,,,,,Inf,Sli,6.04,,,,,
Fr-6,,,,,M,Ra,2.04,,,,,
Fr-7,,,,,,,,,,,,
Fr-8,,,,,,,,,,,,
Fr-9,,,,,,,,,,,,
,,,,,Stundenplan21_22neu,,,,,,,
Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,,,,,Untis 2021
"D-48346, Loburg 15",,,,,,,,,,,,16.8.2021 14:51
,,,,,6b/ Ul/Her,,,,,,,
Mo-1,,,,,E5,Ul,2.05,,,,,
Mo-2,,,,,LZ,Ul,2.05,,,,,
Mo-3,,,KR,St,2.05,ER,Fm,3.05,,,,
Mo-4,,,KR,St,2.05,ER,Fm,3.05,,,,
Mo-5,,,,,MU,Fi,MuRa,,,,,
Mo-6,,,,,MU,Fi,MuRa,,,,,
Mo-7,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,
Di-1,,,,,M,Fw,2.05,,,,,
Di-2,,,,,M,Fw,2.05,,,,,
Di-3,,,,,D,Her,3.04,,,,,
Di-4,,,,,D,Her,3.01,,,,,
Di-5,,,,,SP,Wan,H1,,,,,
Di-6,,,,,SP,Wan,H1,,,,,
Di-7,,,,,,,,,,,,
Di-8,,,,,E5,Ul,2.05,,,,,
Di-9,,,,,E5,Ul,2.05,,,,,
Mi-1,,,,,SP,Wan,H2,,,,,
Mi-2,,,,,SP,Wan,H2,,,,,
Mi-3,,,,,D,Her,3.15,,,,,
Mi-4,,,,,D,Her,3.07,,,,,
Mi-5,,,,,M,Fw,2.05,,,,,
Mi-6,Chor,Hm,Aula,LRS,Kru,1.06,kuAG,Mus,7.11,sport,Pf,H3
Mi-7,,,,,,,,,,,,
Mi-8,,,,,PK,Sth,2.05,,,,,
Mi-9,,,,,sozL,Ul,2.05,,,,,
Do-1,,,,,E5,Ul,2.05,,,,,
Do-2,,,,,E5,Ul,2.05,,,,,
Do-3,,,,,PH,Fi,8.1,,,,,
Do-4,,,,,PH,Fi,8.1,,,,,
Do-5,,,,,Inf,Ah,6.04,,,,,
Do-6,,,,,LZ,Her,2.05,,,,,
Do-7,,,,,,,,,,,,
Do-8,,,,,GE,Her,2.05,,,,,
Do-9,,,,,GE,Her,2.05,,,,,
Fr-1,,,,,BI,Pi,8.1,,,,,
Fr-2,,,,,BI,Pi,8.1,,,,,
Fr-3,,,,,PK,Sth,2.05,,,,,
Fr-4,,,,,LZ,Ah,2.05,,,,,
Fr-5,,,,,M,Fw,2.05,,,,,
Fr-6,,,,,M,Fw,2.05,,,,,
Fr-7,,,,,,,,,,,,
Fr-8,,,,,,,,,,,,
Fr-9,,,,,,,,,,,,
,,,,,Stundenplan21_22neu,,,,,,,
Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,,,,,Untis 2021
"D-48346, Loburg 15",,,,,,,,,,,,16.8.2021 14:51
,,,,,6c/ Dr/Hm,,,,,,,
Mo-1,,,,,MU,Hm,MuRa,,,,,
Mo-2,,,,,MU,Hm,MuRa,,,,,
